epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.391,1.16049,3.50949,1.51917,0.07166,0.98507,0.74219,0.55947,0.54353,4.06008,1.24476,0.00012726,0.00012726,0.00012726
2,221.479,0.88233,2.0374,1.28919,0.44203,0.91045,0.84001,0.64605,0.78659,4.03726,1.46392,0.000258391,0.000258391,0.000258391
3,327.401,0.92895,1.48341,1.3142,0.95982,0.8209,0.91001,0.63205,1.04973,2.74492,1.84537,0.000384122,0.000384122,0.000384122
4,433.101,0.87754,1.33018,1.25894,0.95441,0.93732,0.97743,0.71964,0.72536,2.06277,1.40377,0.000504453,0.000504453,0.000504453
5,539.33,0.8603,1.2293,1.26791,0.89485,0.8892,0.95853,0.71178,0.84,2.11241,1.54244,0.000619385,0.000619385,0.000619385
6,647.386,0.82493,1.16903,1.20687,0.82012,0.88467,0.92342,0.68709,0.90483,2.27094,1.55116,0.000728918,0.000728918,0.000728918
7,752.843,0.84661,1.177,1.21537,0.85052,0.85075,0.93458,0.66403,1.10144,2.25477,1.87671,0.000801011,0.000801011,0.000801011
8,857.702,0.82782,1.1344,1.21024,0.91882,0.89552,0.96533,0.7341,0.73569,1.8338,1.39398,0.000783013,0.000783013,0.000783013
9,962.609,0.78848,1.02784,1.17412,0.96818,0.9083,0.97036,0.79795,0.70031,1.67173,1.29478,0.000765014,0.000765014,0.000765014
10,1066.91,0.81194,1.06814,1.19966,0.92249,0.9403,0.95855,0.73494,0.87477,1.75007,1.45208,0.000747016,0.000747016,0.000747016
11,1171.2,0.77839,0.9955,1.18981,0.81354,0.97686,0.94349,0.74284,0.85611,1.75489,1.38592,0.000729018,0.000729018,0.000729018
12,1275.49,0.78971,0.94074,1.1994,0.81217,0.8806,0.90611,0.52414,1.42679,2.3449,2.16571,0.00071102,0.00071102,0.00071102
13,1381.41,0.78616,0.93405,1.17619,0.8118,0.8806,0.89583,0.61092,1.301,2.07695,1.95371,0.000693022,0.000693022,0.000693022
14,1485.66,0.77728,0.91355,1.15168,0.78413,0.86747,0.90486,0.70862,0.74005,1.62245,1.31824,0.000675023,0.000675023,0.000675023
15,1590.06,0.73176,0.84058,1.14029,0.95269,0.9403,0.95276,0.8043,0.68172,1.36155,1.24542,0.000657025,0.000657025,0.000657025
16,1695.83,0.75325,0.86292,1.16982,0.94756,0.95522,0.97417,0.75602,0.78979,1.29965,1.46482,0.000639027,0.000639027,0.000639027
17,1800.8,0.79893,0.86157,1.18279,0.96773,0.89517,0.96695,0.81435,0.61544,1.15117,1.23236,0.000621029,0.000621029,0.000621029
18,1904.83,0.72958,0.81308,1.1604,0.91384,0.97015,0.97866,0.72883,0.79756,1.33476,1.38259,0.000603031,0.000603031,0.000603031
19,2008.25,0.76123,0.8269,1.15839,0.97048,0.98135,0.99153,0.83071,0.65321,1.06862,1.25469,0.000585032,0.000585032,0.000585032
20,2112.58,0.71745,0.77498,1.14162,0.93839,0.90929,0.97218,0.80137,0.64676,1.07104,1.21051,0.000567034,0.000567034,0.000567034
21,2216.92,0.7652,0.79779,1.15672,0.96589,0.95522,0.98616,0.84172,0.64334,1.03161,1.22717,0.000549036,0.000549036,0.000549036
22,2321.08,0.72007,0.75411,1.15134,0.95199,0.97015,0.9864,0.83505,0.6996,1.01987,1.27264,0.000531038,0.000531038,0.000531038
23,2425.48,0.70503,0.73441,1.12727,0.98481,0.96798,0.98824,0.84358,0.63439,1.00566,1.20583,0.00051304,0.00051304,0.00051304
24,2530.26,0.7159,0.70247,1.12589,0.97047,0.98109,0.98429,0.83057,0.67287,0.93061,1.21972,0.000495041,0.000495041,0.000495041
25,2634.71,0.66897,0.68604,1.09902,0.97017,1,0.98851,0.8567,0.63581,0.8955,1.17829,0.000477043,0.000477043,0.000477043
26,2740.51,0.67902,0.69094,1.11414,0.97029,0.97492,0.98226,0.84969,0.59567,0.89628,1.16856,0.000459045,0.000459045,0.000459045
27,2847.37,0.71447,0.70201,1.13171,0.96668,0.98507,0.98164,0.82951,0.64156,0.89459,1.2034,0.000441047,0.000441047,0.000441047
28,2951.68,0.68579,0.70086,1.1186,0.95671,1,0.9843,0.84422,0.55687,0.817,1.12664,0.000423049,0.000423049,0.000423049
29,3056.53,0.65146,0.64559,1.09444,0.96999,1,0.99033,0.85653,0.57786,0.80189,1.12945,0.00040505,0.00040505,0.00040505
30,3161.25,0.661,0.63173,1.11519,0.94358,0.99844,0.98849,0.82898,0.62543,0.83925,1.18692,0.000387052,0.000387052,0.000387052
31,3268.79,0.65657,0.63235,1.09494,0.92898,1,0.98921,0.79283,0.67446,0.86301,1.21475,0.000369054,0.000369054,0.000369054
32,3376.5,0.62409,0.5965,1.06811,0.97827,0.98507,0.99068,0.83993,0.61357,0.84298,1.165,0.000351056,0.000351056,0.000351056
33,3482.43,0.65677,0.62362,1.10567,0.98179,1,0.99074,0.84447,0.61835,0.81304,1.16341,0.000333058,0.000333058,0.000333058
34,3589.11,0.68867,0.6651,1.13355,0.97096,0.99821,0.99094,0.83961,0.58196,0.77099,1.13187,0.000315059,0.000315059,0.000315059
35,3695.54,0.66722,0.6185,1.0894,0.98457,0.98507,0.98488,0.83766,0.61448,0.81223,1.20895,0.000297061,0.000297061,0.000297061
36,3801.4,0.64848,0.59383,1.10525,0.97092,1,0.9871,0.85262,0.54764,0.6721,1.13306,0.000279063,0.000279063,0.000279063
37,3907.89,0.62608,0.58654,1.06853,0.9685,1,0.99003,0.8553,0.51574,0.64899,1.10847,0.000261065,0.000261065,0.000261065
38,4011.55,0.59926,0.55687,1.07501,0.97094,1,0.99088,0.85706,0.50144,0.64452,1.1037,0.000243067,0.000243067,0.000243067
39,4114.93,0.61049,0.55408,1.07499,0.98526,0.99736,0.98779,0.86379,0.54746,0.67114,1.13257,0.000225068,0.000225068,0.000225068
40,4218.75,0.61716,0.55919,1.06889,0.96997,1,0.99078,0.85804,0.58642,0.69644,1.14049,0.00020707,0.00020707,0.00020707
41,4321.45,0.43281,0.71968,1.03471,0.95527,1,0.99216,0.85257,0.61838,0.80159,1.1653,0.000189072,0.000189072,0.000189072
42,4423.98,0.4352,0.63874,1.02604,0.96822,1,0.9923,0.86183,0.54421,0.73439,1.13172,0.000171074,0.000171074,0.000171074
43,4526.95,0.40075,0.56321,1.0189,0.98529,0.99945,0.99044,0.86564,0.56962,0.70226,1.14848,0.000153076,0.000153076,0.000153076
44,4630.17,0.39614,0.55288,1.00479,0.98527,0.99817,0.98765,0.87063,0.52597,0.64916,1.08953,0.000135077,0.000135077,0.000135077
45,4732.73,0.39377,0.54492,1.00264,0.98528,0.99901,0.98779,0.87536,0.51565,0.64159,1.09574,0.000117079,0.000117079,0.000117079
46,4835.57,0.3841,0.53206,0.99856,0.98439,1,0.98779,0.87856,0.51628,0.62024,1.09147,9.9081e-05,9.9081e-05,9.9081e-05
47,4938.08,0.37634,0.52864,0.99156,0.98526,0.99765,0.98676,0.88165,0.51605,0.59542,1.08724,8.10828e-05,8.10828e-05,8.10828e-05
48,5042.26,0.36146,0.51492,0.95302,0.98187,1,0.98515,0.87832,0.51248,0.58019,1.08359,6.30846e-05,6.30846e-05,6.30846e-05
49,5144.29,0.37135,0.51577,0.99369,0.98294,1,0.98382,0.87523,0.52081,0.58514,1.09407,4.50864e-05,4.50864e-05,4.50864e-05
50,5247.18,0.36574,0.51463,0.97557,0.98344,1,0.98338,0.87596,0.52505,0.58904,1.09212,2.70882e-05,2.70882e-05,2.70882e-05
